"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.151479270E-1,1.184707880E-2,3.551572561E-3,-1.972103119E-2,2.327844529E-2
6.251270810E-1,1.791048050E-2,5.980074406E-3,-3.176021576E-2,3.694939657E-2
6.351368500E-1,3.345215321E-2,-1.061371714E-2,-1.986408234E-2,4.032715354E-2
6.451464650E-1,1.288169622E-2,6.180658937E-3,-3.431510925E-2,3.717075955E-2
6.551258500E-1,2.109396458E-2,1.829825342E-2,-2.960968018E-2,4.070030196E-2
6.651356190E-1,1.501142979E-2,3.969267011E-3,-2.968883514E-2,3.350410478E-2
6.751454650E-1,2.102100849E-2,8.789166808E-3,-3.694152832E-2,4.340286587E-2
6.851246190E-1,2.002525330E-2,-8.078441024E-4,-4.418182373E-2,4.851491451E-2
6.951343880E-1,1.448559761E-2,4.016011953E-3,-3.943920135E-2,4.220677071E-2
7.051442350E-1,5.229157209E-2,8.769191802E-3,-3.228664398E-2,6.207845533E-2
7.151233880E-1,3.274047375E-2,8.791357279E-3,-3.709888458E-2,5.025488853E-2
7.251332350E-1,3.483414650E-2,8.747585118E-3,-4.190444946E-2,5.518986223E-2
7.351430040E-1,-1.225531101E-3,-8.027255535E-4,-3.473091125E-2,3.476179644E-2
7.451221580E-1,9.717881680E-2,-1.274581999E-2,-9.457206726E-2,1.361985839E-1
7.551319270E-1,7.586187124E-2,1.365505904E-2,-9.216403961E-2,1.201486344E-1
7.651417730E-1,5.373817682E-2,2.558720857E-2,-1.065254211E-2,6.046464706E-2
7.751513890E-1,3.541463614E-2,6.383173168E-3,-7.749652863E-2,8.544386052E-2
7.851307730E-1,2.301913500E-2,6.391815841E-3,-1.498603821E-2,2.820136924E-2
7.951405430E-1,-2.226316929E-2,2.321305871E-2,-3.144454956E-2,4.498060136E-2
8.051503890E-1,-4.109871387E-2,1.125588268E-2,-7.190704346E-3,4.321464342E-2
8.151294660E-1,-6.036937237E-2,6.497688591E-3,-6.902694702E-3,6.110915047E-2
8.251393120E-1,-6.415706873E-2,-5.552098155E-3,1.006793976E-2,6.517912759E-2
8.351491580E-1,-8.139491081E-2,1.604154706E-2,7.793426514E-3,8.332586774E-2
8.451283120E-1,-6.412947178E-2,-5.411222577E-3,1.261138916E-2,6.558138163E-2
8.551380810E-1,-3.391277790E-2,-7.820069790E-3,-2.575302124E-2,4.329489692E-2
8.651479270E-1,-7.197260857E-4,6.586790085E-3,-9.161949158E-3,1.130686171E-2
8.751270810E-1,-6.646513939E-3,9.014427662E-3,-1.416969299E-2,1.806145767E-2
8.851368500E-1,-6.099760532E-3,9.162992239E-3,-4.855155945E-3,1.203079567E-2
8.951464660E-1,1.049315929E-2,-9.830839932E-3,-1.081104279E-1,1.090624427E-1
9.051258500E-1,1.747632027E-2,4.579566419E-3,-1.264476776E-2,2.205185594E-2
