Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Velocity (m/s),Position (m)
0.035130695,0.002489805222,-0.001356311142,-0.03356647491,0.03368600523,0.0,0.0
0.045140541,0.02875971794,0.01072672009,-0.09582138062,0.1006176967,4.689817526325099e-05,2.3472175603307586e-07
0.055150387,0.04066818953,-0.00832105428,-0.07906627655,0.08930071484,5.8938347406033625e-05,7.644254025806e-07
0.065129464,0.03681778908,0.01126114279,-0.0869846344,0.09512460014,7.360803222008625e-05,1.4257706667607403e-06
0.07513931,0.04217225313,0.004009015858,-0.0634098053,0.07625860312,0.00015003400045111037,2.545081819843564e-06
0.085149156,0.03407967091,0.00406242907,-0.07808685303,0.08529644726,0.00019043096081449093,4.249082735175882e-06
0.09512831,0.03647917509,-0.0007325187325,-0.09031772614,0.09740923187,0.00020704580484654317,6.232323663152565e-06
0.105138079,0.0516858995,0.008841089904,-0.07377147675,0.09050871703,0.00024762826701993037,8.507914877988964e-06
0.115147926,0.04011240602,0.001381136477,-0.06717014313,0.07824794427,0.00029878972805651724,1.1242695142369961e-05
0.125127079,0.03334146738,-0.003476724029,-0.07445716858,0.08165544079,0.0002883336336533655,1.4172192070558593e-05
0.135136849,0.03711512685,0.006150320172,-0.08648109436,0.09430980204,0.00030171467488552406,1.7125315999240253e-05
0.145146464,0.02256852388,0.001475647092,-0.07691478729,0.08017106903,0.0003398811730431457,2.0336379710922518e-05
0.155125849,0.008227080107,0.01346085966,-0.07028961182,0.07203824761,0.0004144097487597995,2.4100059466260762e-05
0.165135618,0.002659857273,-0.02005796134,-0.06541824341,0.0684758587,0.00038139201681664355,2.8082955387866936e-05
0.175145464,-0.001776576042,-0.0009732991457,-0.0628824234,0.06291504356,0.00027613217749277255,3.13738133510226e-05
0.185124618,-0.01284116507,0.001420900226,-0.05313491821,0.05468303221,0.0002783655175482126,3.414052229675211e-05
0.195134387,-0.02100169659,-0.0106158331,-0.07687759399,0.08039857978,0.00023234594052858954,3.6696574157253096e-05
0.205144233,-0.0141685009,0.006077289581,-0.047914505,0.05033368312,0.00020963087968384547,3.8908634110201184e-05
0.215123387,-0.0286641717,-0.01553975046,-0.05963897705,0.06797003874,0.00016241720251858734,4.076499666405255e-05
0.225133233,-0.03818535805,-0.003634914756,-0.05219650269,0.06477506516,6.644947956172907e-05,4.191045678513001e-05
0.235143003,-0.05469846725,-0.01246878505,-0.03963375092,0.06868935239,-1.4147686041823256e-05,4.2172221246990884e-05
0.245122157,-0.064024508,-0.002955235541,-0.02977848053,0.07067268881,-9.11070244302034e-05,4.1647044764478e-05
0.255131926,-0.04566514492,0.008447647095,-0.02182769775,0.05131390251,-6.361813897596789e-05,4.087266319238649e-05
0.265141772,-0.06780260801,-0.01070937514,-0.02158927917,0.07195819164,-7.49379136881334e-05,4.017920081761872e-05
0.275151387,-0.04783546925,0.0104137361,-0.02535247803,0.05513099092,-7.641753017281821e-05,3.94216959570176e-05
0.285130695,-0.05447441339,-0.001504376531,-0.0179977417,0.05739027417,-3.196290856191925e-05,3.888091506736306e-05
0.295140541,-0.03164374828,-0.005364105105,-0.01257038116,0.0344690428,-6.633913027701325e-05,3.8388920932231196e-05
0.305150388,-0.0384079814,-0.0005829408765,-0.02691078186,0.04690099184,-9.61036404654032e-05,3.757590729153736e-05
0.315129464,-0.04072546959,0.01184049994,-0.004454612732,0.0426451039,-3.9933621730825364e-05,3.6897144202393315e-05
0.325139311,0.008175909519,0.002196542919,-0.0332698822,0.03433009407,3.0320703944690646e-05,3.684903228426192e-05
0.335149157,0.01320654154,0.006973899901,-0.04537391663,0.04776861239,7.621806413469345e-05,3.7382250615014095e-05
0.345128311,0.02265632153,0.004628621042,-0.02398109436,0.03331404996,0.00013410973577390482,3.843169736789864e-05
0.35513808,0.04133743048,-0.009624496102,-0.03134059906,0.05276028083,0.00010910595812217424,3.9648963824435875e-05
0.365147926,0.02398043871,0.002342872322,-0.04109859467,0.04764079108,7.266199178830535e-05,4.0558698417605684e-05
0.37512708,0.02817708254,0.009644918144,-0.0580406189,0.0652356181,0.00013247599537827818,4.1582250200198365e-05
0.385136849,0.03488272429,0.002578340471,-0.03666782379,0.05067525624,0.00019365199295998315,4.321448311404871e-05
0.395146465,0.03704112768,0.002746768296,-0.04400920868,0.05758819605,0.00022030313991793489,4.528624907471718e-05
0.405125849,0.04907816648,0.005058549345,-0.05851268768,0.07653750693,0.0002592492709086914,4.76790679025995e-05
0.415135619,0.058983922,0.009937889874,-0.03708934784,0.07038099483,0.00033430472460927645,5.0649737391457454e-05
0.425145465,0.03590005636,-0.004330612719,-0.0515460968,0.06296481834,0.00036236871500971047,5.413653431289563e-05
0.435124619,0.04445493221,-0.004294045269,-0.05400085449,0.07007690139,0.00031933531987991945,5.753794908618812e-05
0.445134388,0.04863762856,-0.006701871753,-0.04924869537,0.06954112447,0.0002643020252132255,6.0458986588265954e-05
0.455144234,0.04834419489,0.01488561928,-0.04447746277,0.06735716395,0.0003052610514373009,6.330960593054493e-05
0.465123388,0.03195101023,-0.006672717631,-0.05403232574,0.06312594111,0.00034623995660841355,6.656032037576666e-05
0.475133234,0.03027743101,-0.001896351576,-0.05638408661,0.06402721453,0.0003033524250457075,6.981148022733214e-05
0.485143003,0.04808479548,0.007658801973,-0.04435062408,0.06586184525,0.00033219282371967166,7.299231079192664e-05
0.495122157,0.04456341267,-0.01377309859,-0.03948879242,0.061114325,0.0003016850699483107,7.615509335098085e-05
0.505132003,0.01011770964,0.003095902503,-0.0250377655,0.02718165488,0.00024824652567697415,7.890745864235255e-05
0.515141773,0.009390175343,0.02228824049,-0.02254486084,0.03306375368,0.0003752912421804939,8.202819346363585e-05
0.525151388,0.02063775063,0.007942274213,-0.0200510025,0.02985027926,0.0005265891488949299,8.65419312089931e-05
0.535130696,0.01280885935,0.003176689148,-0.02952289581,0.03233820664,0.0005820689289049965,9.207375142151977e-05
0.545140542,0.004898905754,-0.001523286104,-0.02224254608,0.02282653137,0.000590344083828182,9.794158827444735e-05
0.555150388,0.006232559681,0.0128621459,-0.02216243744,0.02637144726,0.0006470942040149583,0.00010413487162235416
0.565129465,-0.009496033192,0.0009173899889,-0.01731204987,0.01976672257,0.0007158477288447566,0.00011093532286962212
0.575139311,-0.004007875919,-0.008557140827,-0.05557823181,0.05637577121,0.0006776113641608807,0.00011790947833376516
0.585149157,0.005940496922,0.01069525629,-0.0196428299,0.02314127864,0.000688312467418305,0.00012474582193468394
0.595128311,0.01313138008,0.005939178169,-0.03640270233,0.0391518035,0.0007713112590029382,0.00013202872690868962
0.605138081,0.01260602474,0.01069702208,-0.03164577484,0.03570424634,0.0008545735280861548,0.00014016609329132004
0.615147927,0.0118470788,0.003551572561,-0.01972103119,0.02327844529,0.0009258866471225724,0.00014907715937280622
0.625127081,0.0179104805,0.005980074406,-0.03176021576,0.03694939657,0.0009734455336012357,0.00015855402353710563
0.63513685,0.03345215321,-0.01061371714,-0.01986408234,0.04032715354,0.0009502546869033016,0.00016818192095335532
0.645146465,0.01288169622,0.006180658937,-0.03431510925,0.03717075955,0.0009280680839609907,0.00017758256484439768
0.65512585,0.02109396458,0.01829825342,-0.02960968018,0.04070030196,0.0010502103293568716,0.00018745356580624178
0.665135619,0.01501142979,0.003969267011,-0.02968883514,0.03350410478,0.0011616566972154163,0.00019852370480359446
0.675145465,0.02102100849,0.008789166808,-0.03694152832,0.04340286587,0.0012255116760801071,0.0002104712986999738
0.685124619,0.0200252533,-0.0008078441024,-0.04418182373,0.04851491451,0.0012653351002815468,0.0002228995704858321
0.695134388,0.01448559761,0.004016011953,-0.03943920135,0.04220677071,0.0012813916098304132,0.00023564564352300752
0.705144235,0.05229157209,0.008769191802,-0.03228664398,0.06207845533,0.0013453805765561006,0.0002487924373677997
0.715123388,0.03274047375,0.008791357279,-0.03709888458,0.05025488853,0.0014330002795777544,0.00026265538119561504
0.725133235,0.0348341465,0.008747585118,-0.04190444946,0.05518986223,0.0015207813445456467,0.0002774388322600585
0.735143004,-0.001225531101,-0.0008027255535,-0.03473091125,0.03476179644,0.0015605444490346893,0.00029286051196379887
0.745122158,0.0971788168,-0.01274581999,-0.09457206726,0.1361985839,0.001492942937807389,0.00030809612239897626
0.755131927,0.07586187124,0.01365505904,-0.09216403961,0.1201486344,0.0014974935742355286,0.00032306291174633386
0.765141773,0.05373817682,0.02558720857,-0.01065254211,0.06046464706,0.0016938981019689724,0.0003390355813485783
0.775151389,0.03541463614,0.006383173168,-0.07749652863,0.08544386052,0.0018539037242543696,0.00035679164831087554
0.785130773,0.023019135,0.006391815841,-0.01498603821,0.02820136924,0.0019176469847126648,0.00037561052471100264
0.795140543,-0.02226316929,0.02321305871,-0.03144454956,0.04498060136,0.002065815977279847,0.0003955472987375346
0.805150389,-0.04109871387,0.01125588268,-0.007190704346,0.04321464342,0.0022383303748283096,0.00041708921981056677
0.815129466,-0.06036937237,0.006497688591,-0.006902694702,0.06110915047,0.002326912502197458,0.0004398676749073376
0.825139312,-0.06415706873,-0.005552098155,0.01006793976,0.06517912759,0.0023316451095191744,0.00046318339704504326
0.835149158,-0.08139491081,0.01604154706,0.007793426514,0.08332586774,0.0023841439936011337,0.00048678555839039945
